Quote_ID,Customer_ID,Sales_Rep_ID,Product_ID,Quote_Request_Date,Quote_Sent_Date,Quote_Viewed_Date,Quote_Accepted_Date,Shipment_Booked_Date,Shipment_Completed_Date,Origin_Country,Destination_Country,Route,Transport_Mode,Carrier,Quoted_Amount_USD,Final_Booked_Amount_USD,Lead_Time_Days,Response_Time_Hours,Quote_Status,Drop_Off_Stage,Drop_Off_Reason,Priority_Level,Customer_Segment
30,1595,6,16,2024-12-30,2025-01-01 15:00:00,,,,,China,USA,China -> USA ,Road,FedEx,6590.48,,24,32,Sent,Quote Accepted,Competitor Won,Medium,Manufacturing
31,1973,3,7,2024-08-20,2024-08-21 11:00:00,,,,,South Africa,USA,South Africa -> USA ,Air,DHL,3292.46,,19,16,Sent,Quote Accepted,No Feedback,Medium,SME
32,1566,5,23,2024-04-09,2024-04-10 14:00:00,2024-04-11 02:00:00,,,,South Africa,China,South Africa -> China ,Air,DHL,14452.35,,1,6,Viewed,Quote Accepted,Competitor Won,Medium,Enterprise
33,1830,10,10,2024-08-13,2024-08-14 20:00:00,2024-08-16 03:00:00,2024-08-16 18:00:00,,,USA,South Africa,USA -> South Africa ,Air,PIL,10343.18,,25,7,Accepted,Quote Viewed,No Feedback,Low,Retail
34,1635,1,20,2024-04-25,2024-04-27 19:00:00,,,,,India,Netherlands,India -> Netherlands ,Road,MSC,6649.71,,7,55,Sent,Quote Accepted,Slow Response,Medium,Manufacturing
35,1239,5,21,2024-02-11,2024-02-11 21:00:00,2024-02-11 22:00:00,2024-02-14 03:00:00,2024-02-18 03:00:00,2024-03-06 03:00:00,South Africa,China,South Africa -> China ,Road,PIL,5398.05,5446.159989679728,21,59,Completed,,Slow Response,Medium,sme
36,1512,9,16,2024-02-06,2024-02-06 08:00:00,2024-02-07 23:00:00,,,,South Africa,Netherlands,South Africa -> Netherlands ,Sea,MSC,3362.72,,29,52,Viewed,Quote Viewed,Documentation Concerns,Medium,Retail
37,1481,6,14,2024-05-08,2024-05-08 04:00:00,2024-05-08 22:00:00,2024-05-09 04:00:00,2024-05-11 04:00:00,2024-05-28 04:00:00,India,Germany,India -> Germany ,Sea,Emirates,4448.29,4766.550109298029,11,63,Completed,,Route Constraint,Low,Enterprise
38,1001,9,15,2024-05-27,2024-05-29 04:00:00,2024-05-29 10:00:00,2024-05-31 03:00:00,,,South Africa,Germany,South Africa -> Germany ,Sea,Maersk,3202.51,,12,66,Accepted,Quote Accepted,,Medium,Manufacturing
39,1645,10,8,2024-08-14,2024-08-14 07:00:00,2024-08-15 19:00:00,,,,Germany,Netherlands,Germany -> Netherlands ,Road,ONE,9324.21,,1,16,Viewed,Quote Accepted,Route Constraint,High,sme
40,1148,7,7,2024-02-28,2024-03-01 12:00:00,2024-03-03 10:00:00,2024-03-05 00:00:00,,,South Africa,Netherlands,South Africa -> Netherlands ,Road,FedEx,16859.75,,5,32,Accepted,Quote Sent,Competitor Won,Medium,Small Business
41,1457,9,16,2024-09-16,2024-09-17 11:00:00,2024-09-19 10:00:00,,,,South Africa,India,South Africa -> India ,Sea,Emirates,12151.82,,18,63,Viewed,Quote Viewed,Route Constraint,Medium,sme
42,1679,3,16,2024-12-23,2024-12-24 07:00:00,2024-12-24 22:00:00,,,,UK,China,UK -> China ,Air,ONE,7045.35,,19,49,Viewed,Quote Viewed,,High,Enterprise
43,1800,5,11,2024-02-21,2024-02-23 20:00:00,,,,,China,UK,China -> UK ,Road,Qatar,3738.95,,28,20,Sent,Quote Viewed,,Low,Retail
44,1764,2,14,2024-07-13,2024-07-14 17:00:00,2024-07-16 04:00:00,,,,China,Brazil,China -> Brazil ,Air,MSC,2299.99,,23,37,Viewed,Quote Viewed,Price Too High,High,Small Business
45,1080,10,13,2024-01-29,2024-01-30 14:00:00,,,,,Brazil,Netherlands,Brazil -> Netherlands ,Road,PIL,3765.83,,19,24,Sent,Quote Sent,Slow Response,Medium,Manufacturing
46,1452,6,19,2024-05-10,2024-05-12 11:00:00,,,,,China,India,China -> India ,Sea,Qatar,9839.81,,15,70,Sent,Quote Viewed,Slow Response,Medium,Enterprise
47,1674,7,9,2024-02-24,2024-02-25 07:00:00,,,,,Brazil,South Africa,Brazil -> South Africa ,Air,Cargo Carriers,6621.58,,25,3,Sent,Quote Accepted,Price Too High,Low,Manufacturing
48,1925,1,10,2024-09-11,2024-09-12 13:00:00,2024-09-13 04:00:00,,,,Netherlands,Brazil,Netherlands -> Brazil ,Sea,Maersk,5761.91,,24,18,Viewed,Quote Sent,Price Too High,Medium,Small Business
49,1302,6,4,2024-07-31,2024-07-31 23:00:00,2024-08-02 09:00:00,2024-08-05 02:00:00,,,South Africa,India,South Africa -> India ,Sea,MSC,4126.34,,8,62,Accepted,Quote Accepted,Documentation Concerns,Low,Enterprise
50,1842,6,4,2024-10-12,2024-10-13 23:00:00,2024-10-14 00:00:00,,,,South Africa,Brazil,South Africa -> Brazil ,Road,PIL,3348.19,,20,34,Viewed,Quote Accepted,Competitor Won,Low,sme
51,1504,2,4,2024-11-27,2024-11-27 09:00:00,2024-11-29 06:00:00,,,,South Africa,UK,South Africa -> UK ,Air,FedEx,8757.62,,15,5,Viewed,Quote Viewed,Documentation Concerns,Low,Manufacturing
52,1222,8,15,2024-10-03,2024-10-05 06:00:00,2024-10-07 00:00:00,2024-10-07 13:00:00,,,India,South Africa,India -> South Africa ,Air,Emirates ,8754.2,,22,5,Accepted,Quote Viewed,No Feedback,Low,Small Business
53,1657,10,1,2024-02-01,2024-02-03 03:00:00,,,,,Netherlands,China,Netherlands -> China ,Air,Emirates,19031.2,,5,12,Sent,Quote Accepted,Slow Response,High,Retail
54,1817,3,4,2024-04-16,2024-04-17 04:00:00,2024-04-17 14:00:00,,,,China,Netherlands,China -> Netherlands ,Road,Maersk,17309.72,,12,17,Viewed,Quote Sent,No Feedback,Medium,SME
55,1226,10,2,2024-03-30,2024-03-31 10:00:00,2024-04-01 20:00:00,2024-04-02 11:00:00,,,USA,South Africa,USA -> South Africa ,Road,FedEx,9517.23,,21,14,Accepted,Quote Sent,Price Too High,Medium,Enterprise
56,1281,10,21,2024-08-06,2024-08-06 14:00:00,,,,,India,China,India -> China ,Road,FedEx,18086.07,,13,19,Sent,Quote Accepted,No Feedback,Medium,Enterprise
57,1320,5,12,2024-09-15,2024-09-17 08:00:00,2024-09-18 13:00:00,2024-09-19 19:00:00,2024-09-23 19:00:00,,Brazil,India,Brazil -> India ,Air,DHL ,9616.48,10254.575546016133,3,13,Booked,,Route Constraint,High,Manufacturing
58,1738,1,10,2024-07-09,2024-07-09 17:00:00,2024-07-11 12:00:00,2024-07-12 04:00:00,,,UK,Germany,UK -> Germany ,Road,Costco,17598.54,,19,55,Accepted,Quote Accepted,Slow Response,High,Manufacturing
59,1997,10,20,2024-09-03,2024-09-04 05:00:00,2024-09-05 17:00:00,,,,Brazil,China,Brazil -> China ,Road,FedEx ,15489.51,,30,55,Viewed,Quote Accepted,,Low,Small Business
60,1410,2,5,2024-01-15,2024-01-16 00:00:00,,,,,South Africa,Germany,South Africa -> Germany ,Road,Maersk ,7669.44,,17,19,Sent,Quote Sent,Route Constraint,Medium,Enterprise
61,1159,3,25,2024-06-23,2024-06-23 21:00:00,,,,,South Africa,UK,South Africa -> UK ,Road,Maersk,7163.27,,9,11,Sent,Quote Viewed,Documentation Concerns,Medium,Enterprise
62,1694,10,16,2024-11-06,2024-11-08 09:00:00,,,,,South Africa,USA,South Africa -> USA ,Road,Costco ,15343.92,,13,56,Sent,Quote Accepted,Price Too High,High,sme
63,1545,4,17,2024-06-03,2024-06-04 04:00:00,2024-06-04 23:00:00,,,,Brazil,China,Brazil -> China ,Road,Emirates ,1146.87,,28,23,Viewed,Quote Accepted,Price Too High,Medium,SME
64,1021,6,6,2024-08-23,2024-08-23 10:00:00,,,,,UK,South Africa,UK -> South Africa ,Road,DHL,8684.03,,30,38,Sent,Quote Viewed,Price Too High,Medium,SME
65,1172,2,17,2024-05-04,2024-05-06 08:00:00,2024-05-07 18:00:00,,,,USA,South Africa,USA -> South Africa ,Road,MSC,17539.96,,7,29,Viewed,Quote Viewed,Competitor Won,Low,Manufacturing
66,1577,10,15,2024-03-16,2024-03-17 07:00:00,2024-03-17 20:00:00,2024-03-18 19:00:00,,,Germany,India,Germany -> India ,Road,Cargo Carriers,15423.9,,20,64,Accepted,Quote Viewed,,Low,Small Business
67,1472,8,2,2024-03-18,2024-03-20 09:00:00,2024-03-21 14:00:00,,,,South Africa,India,South Africa -> India ,Air,Emirates,6218.8,,3,65,Viewed,Quote Accepted,,High,Retail
68,1829,10,21,2024-10-31,2024-11-02 17:00:00,,,,,India,South Africa,India -> South Africa ,Air,Emirates,11532.01,,17,6,Sent,Quote Sent,Price Too High,Medium,SME
69,1695,10,2,2024-06-24,2024-06-24 11:00:00,2024-06-26 09:00:00,2024-06-28 18:00:00,2024-07-02 18:00:00,2024-07-20 18:00:00,Germany,Netherlands,Germany -> Netherlands ,Road,Emirates ,8084.19,7428.5718071684105,22,53,Completed,,Route Constraint,Medium,Small Business
70,1715,7,5,2024-12-02,2024-12-02 20:00:00,,,,,USA,Brazil,USA -> Brazil ,Road,MSC,13608.63,,13,40,Sent,Quote Accepted,,Medium,sme
71,1784,8,7,2024-12-09,2024-12-11 20:00:00,2024-12-13 05:00:00,,,,Brazil,China,Brazil -> China ,Air,ONE,7889.36,,10,28,Viewed,Quote Sent,No Feedback,Low,Manufacturing
72,1044,7,12,2024-09-26,2024-09-26 05:00:00,2024-09-27 21:00:00,,,,Germany,Brazil,Germany -> Brazil ,Road,PIL,8157.68,,20,22,Viewed,Quote Viewed,,Low,Enterprise
73,1288,7,17,2024-04-29,2024-05-01 21:00:00,2024-05-03 04:00:00,,,,Netherlands,Germany,Netherlands -> Germany ,Road,Qatar,13887.83,,27,57,Viewed,Quote Sent,,Low,sme
74,1164,5,15,2024-05-08,2024-05-08 07:00:00,2024-05-09 07:00:00,,,,USA,UK,USA -> UK ,Road,ONE,17071.95,,3,37,Viewed,Quote Sent,,Medium,Small Business
75,1953,2,23,2024-01-14,2024-01-16 06:00:00,2024-01-17 15:00:00,,,,Brazil,USA,Brazil -> USA ,Road,Emirates,8337.16,,5,29,Viewed,Quote Sent,Competitor Won,Medium,Manufacturing
76,1744,10,17,2024-03-12,2024-03-14 13:00:00,,,,,China,USA,China -> USA ,Sea,MSC,1361.07,,8,20,Sent,Quote Viewed,Price Too High,High,sme
77,1001,10,12,2024-08-02,2024-08-04 11:00:00,2024-08-06 02:00:00,2024-08-08 23:00:00,,,China,UK,China -> UK ,Air,Cargo Carriers,10792.14,,22,19,Accepted,Quote Accepted,Price Too High,Low,Small Business
78,1750,2,25,2024-02-04,2024-02-06 20:00:00,2024-02-08 03:00:00,2024-02-08 09:00:00,,,UK,Germany,UK -> Germany ,Road,Emirates,5819.35,,12,9,Accepted,Quote Accepted,Competitor Won,Low,sme
79,1206,1,7,2024-12-16,2024-12-18 12:00:00,2024-12-20 05:00:00,,,,Germany,India,Germany -> India ,Air,Emirates,3562.2,,17,59,Viewed,Quote Viewed,,Low,Enterprise
80,1916,7,11,2024-05-09,2024-05-09 05:00:00,2024-05-10 04:00:00,2024-05-10 11:00:00,,,Brazil,Germany,Brazil -> Germany ,Air,DHL,3365.03,,12,52,Accepted,Quote Accepted,Competitor Won,High,Manufacturing
81,1313,8,20,2024-08-05,2024-08-05 11:00:00,,,,,Germany,Brazil,Germany -> Brazil ,Road,Qatar,6581.56,,15,42,Sent,Quote Viewed,Route Constraint,High,Manufacturing
82,1695,3,1,2024-06-29,2024-07-01 08:00:00,,,,,China,USA,China -> USA ,Air,Cargo Carriers,13752.49,,15,66,Sent,Quote Sent,Slow Response,High,sme
83,1380,8,25,2024-11-26,2024-11-27 23:00:00,,,,,UK,South Africa,UK -> South Africa ,Air,Cargo Carriers,1615.32,,12,58,Sent,Quote Viewed,Competitor Won,Low,Small Business
84,1292,8,7,2024-05-07,2024-05-07 15:00:00,2024-05-09 01:00:00,2024-05-11 03:00:00,,,USA,Netherlands,USA -> Netherlands ,Air,ONE,15724.33,,15,28,Accepted,Quote Sent,Documentation Concerns,Medium,SME
85,1949,3,12,2024-12-15,2024-12-16 17:00:00,2024-12-18 15:00:00,,,,USA,Brazil,USA -> Brazil ,Road,PIL,11301.26,,7,21,Viewed,Quote Sent,Slow Response,Medium,SME
86,1736,8,17,2024-07-03,2024-07-05 23:00:00,2024-07-07 05:00:00,,,,Germany,Brazil,Germany -> Brazil ,Sea,Qatar,17800.68,,3,51,Viewed,Quote Sent,Competitor Won,Low,SME
87,1530,3,10,2024-08-18,2024-08-20 12:00:00,2024-08-20 21:00:00,,,,Germany,India,Germany -> India ,Air,ONE,19359.03,,23,8,Viewed,Quote Sent,Competitor Won,Low,Small Business
88,1594,3,6,2024-02-10,2024-02-11 09:00:00,2024-02-11 18:00:00,,,,South Africa,Brazil,South Africa -> Brazil ,Road,Cargo Carriers,11136.08,,20,22,Viewed,Quote Viewed,,Low,SME
89,1642,9,10,2024-01-15,2024-01-15 11:00:00,2024-01-17 05:00:00,,,,Netherlands,India,Netherlands -> India ,Road,Costco,11870.61,,26,4,Viewed,Quote Accepted,Route Constraint,Medium,Enterprise
90,1326,6,13,2024-02-07,2024-02-07 08:00:00,2024-02-08 11:00:00,,,,India,Netherlands,India -> Netherlands ,Air,Emirates,4876.44,,4,41,Viewed,Quote Viewed,Slow Response,Medium,SME
91,1163,8,17,2024-05-16,2024-05-18 10:00:00,2024-05-19 05:00:00,2024-05-21 07:00:00,2024-05-26 07:00:00,2024-06-10 07:00:00,Netherlands,India,Netherlands -> India ,Sea,DHL,18143.91,18134.367294169886,3,41,Completed,,Route Constraint,Low,Enterprise
92,1008,2,14,2024-05-03,2024-05-04 04:00:00,2024-05-04 08:00:00,,,,China,Netherlands,China -> Netherlands ,Air,Costco,10402.99,,25,61,Viewed,Quote Viewed,Competitor Won,High,Enterprise
93,1638,10,4,2024-01-27,2024-01-30 00:00:00,2024-01-31 12:00:00,,,,South Africa,China,South Africa -> China ,Air,MSC,8340.63,,26,71,Viewed,Quote Viewed,No Feedback,Medium,sme
94,1152,10,17,2024-04-11,2024-04-13 18:00:00,,,,,China,USA,China -> USA ,Air,Emirates,1739.37,,11,61,Sent,Quote Sent,Route Constraint,Low,Manufacturing
95,1597,5,24,2024-06-02,2024-06-03 20:00:00,2024-06-05 18:00:00,,,,South Africa,Netherlands,South Africa -> Netherlands ,Road,Maersk,16499.23,,9,15,Viewed,Quote Accepted,,Low,Retail
96,1451,6,14,2024-04-26,2024-04-26 07:00:00,2024-04-26 18:00:00,,,,UK,USA,UK -> USA ,Air,Qatar,16611.56,,14,15,Viewed,Quote Accepted,,Low,Enterprise
97,1362,5,20,2024-02-01,2024-02-01 18:00:00,2024-02-03 13:00:00,2024-02-06 03:00:00,,,UK,Germany,UK -> Germany ,Sea,PIL,19177.02,,9,69,Accepted,Quote Accepted,Competitor Won,High,Small Business
98,1587,9,13,2024-05-27,2024-05-28 03:00:00,2024-05-29 00:00:00,,,,India,Germany,India -> Germany ,Sea,Emirates,11649.26,,26,36,Viewed,Quote Sent,Competitor Won,High,Small Business
99,1277,9,23,2024-12-31,2024-12-31 11:00:00,,,,,India,Brazil,India -> Brazil ,Sea,ONE,5872.44,,24,26,Sent,Quote Accepted,Slow Response,High,SME
100,1957,8,16,2024-12-08,2024-12-10 20:00:00,2024-12-11 23:00:00,2024-12-13 18:00:00,2024-12-17 18:00:00,2024-12-22 18:00:00,Germany,China,Germany -> China ,Road,PIL,19325.86,18503.52547633285,10,21,Completed,,Documentation Concerns,High,SME
101,1009,5,19,2024-11-29,2024-11-30 06:00:00,2024-11-30 18:00:00,2024-11-30 23:00:00,2024-12-04 23:00:00,,India,USA,India -> USA ,Road,MSC,18795.57,18175.474500183296,15,38,Booked,,Documentation Concerns,Low,Retail
102,1735,3,1,2024-09-09,2024-09-09 18:00:00,2024-09-10 12:00:00,,,,Netherlands,India,Netherlands -> India ,Road,Emirates,3140.29,,19,59,Viewed,Quote Accepted,,High,sme
103,1958,4,1,2024-11-08,2024-11-10 04:00:00,,,,,Brazil,China,Brazil -> China ,Sea,Qatar,8615.83,,25,18,Sent,Quote Viewed,Competitor Won,Medium,Retail
104,1415,9,23,2024-10-20,2024-10-20 02:00:00,,,,,Brazil,UK,Brazil -> UK ,Sea,MSC,5489.75,,10,60,Sent,Quote Viewed,No Feedback,High,sme
105,1845,4,25,2024-03-09,2024-03-11 14:00:00,2024-03-13 14:00:00,,,,Brazil,Netherlands,Brazil -> Netherlands ,Air,Cargo Carriers,14336.87,,3,69,Viewed,Quote Accepted,Route Constraint,Low,Manufacturing
106,1734,10,16,2024-07-04,2024-07-04 10:00:00,2024-07-05 19:00:00,2024-07-06 21:00:00,2024-07-11 21:00:00,2024-07-30 21:00:00,Germany,USA,Germany -> USA ,Air,FedEx,7234.24,6591.312554387924,5,15,Completed,,No Feedback,Medium,Enterprise
107,1592,2,2,2024-10-15,2024-10-15 08:00:00,2024-10-17 04:00:00,,,,South Africa,UK,South Africa -> UK ,Sea,Emirates,1413.64,,18,1,Viewed,Quote Sent,Price Too High,Medium,SME
108,1677,9,5,2024-05-26,2024-05-28 05:00:00,2024-05-29 05:00:00,2024-05-31 06:00:00,,,India,UK,India -> UK ,Road,Emirates,18425.19,,18,11,Accepted,Quote Viewed,No Feedback,High,Manufacturing
109,1282,4,24,2024-04-24,2024-04-24 01:00:00,2024-04-25 07:00:00,,,,UK,South Africa,UK -> South Africa ,Air,Maersk,8206.25,,14,59,Viewed,Quote Accepted,,High,sme
110,1884,1,5,2024-04-15,2024-04-15 09:00:00,2024-04-17 00:00:00,2024-04-17 07:00:00,,,Netherlands,UK,Netherlands -> UK ,Road,Costco,1840.5,,30,70,Accepted,Quote Accepted,No Feedback,Medium,Retail
111,1437,9,16,2024-11-02,2024-11-03 18:00:00,2024-11-04 04:00:00,,,,Netherlands,South Africa,Netherlands -> South Africa ,Air,Emirates,6709.52,,22,23,Viewed,Quote Viewed,,Low,Small Business
112,1230,5,23,2024-12-22,2024-12-24 06:00:00,,,,,Germany,Netherlands,Germany -> Netherlands ,Air,DHL,8152.74,,18,61,Sent,Quote Viewed,Route Constraint,Low,Retail
113,1741,4,2,2024-03-09,2024-03-11 02:00:00,2024-03-11 16:00:00,,,,Brazil,UK,Brazil -> UK ,Sea,Qatar,2502.34,,20,48,Viewed,Quote Sent,,High,sme
114,1120,8,8,2024-10-27,2024-10-30 00:00:00,2024-10-30 14:00:00,,,,Brazil,Germany,Brazil -> Germany ,Road,Cargo Carriers,19183.38,,13,25,Viewed,Quote Sent,No Feedback,Medium,Small Business
115,1739,8,25,2024-07-13,2024-07-15 12:00:00,2024-07-16 08:00:00,,,,South Africa,Germany,South Africa -> Germany ,Sea,PIL,10743.51,,14,13,Viewed,Quote Sent,No Feedback,High,Manufacturing
116,1251,8,18,2024-03-15,2024-03-15 03:00:00,,,,,UK,Germany,UK -> Germany ,Road,Emirates,3895.82,,27,49,Sent,Quote Viewed,Documentation Concerns,Low,Manufacturing
117,1980,1,17,2024-09-08,2024-09-10 11:00:00,2024-09-10 22:00:00,,,,Germany,UK,Germany -> UK ,Air,MSC,11384.38,,22,70,Viewed,Quote Sent,,High,Enterprise
118,1017,9,24,2024-03-11,2024-03-12 06:00:00,2024-03-13 15:00:00,2024-03-16 02:00:00,2024-03-19 02:00:00,2024-03-22 02:00:00,India,Brazil,India -> Brazil ,Sea,FedEx,0.0,0.0,27,71,Completed,,Documentation Concerns,Low,Enterprise
119,1249,4,10,2024-04-01,2024-04-01 14:00:00,2024-04-03 06:00:00,2024-04-06 02:00:00,2024-04-09 02:00:00,2024-04-22 02:00:00,South Africa,India,South Africa -> India ,Road,MSC,8541.03,9152.942116754946,25,52,Completed,,Price Too High,High,Enterprise
120,1339,10,4,2024-07-13,2024-07-15 01:00:00,2024-07-15 05:00:00,,,,China,UK,China -> UK ,Road,Maersk,4256.29,,29,56,Viewed,Quote Accepted,No Feedback,Medium,Small Business
121,1770,7,3,2024-01-24,2024-01-24 10:00:00,2024-01-25 21:00:00,,,,China,Germany,China -> Germany ,Sea,ONE,18646.56,,19,27,Viewed,Quote Viewed,Documentation Concerns,Low,Small Business
122,1334,1,21,2024-07-15,2024-07-15 18:00:00,2024-07-15 22:00:00,2024-07-16 11:00:00,,,UK,USA,UK -> USA ,Sea,DHL,16934.82,,12,51,Accepted,Quote Accepted,Route Constraint,Medium,sme
123,1324,6,4,2024-12-14,2024-12-16 01:00:00,2024-12-16 17:00:00,,,,USA,China,USA -> China ,Air,Maersk,6091.47,,15,20,Viewed,Quote Viewed,,Medium,SME
124,1803,6,13,2024-03-08,2024-03-08 12:00:00,2024-03-09 17:00:00,,,,UK,China,UK -> China ,Air,Costco,1498.98,,25,12,Viewed,Quote Sent,Documentation Concerns,Low,sme
